Date,Temperature,Site,Depth
2023-11-05,10.7795000,HB,9
2023-11-06,10.5652500,HB,9
2023-11-07,10.5094444,HB,9
2023-11-08,10.4965139,HB,9
2023-11-09,9.7697153,HB,9
2023-11-10,9.4479444,HB,9
2023-11-11,9.2246597,HB,9
2023-11-12,8.8462847,HB,9
2023-11-13,8.6365764,HB,9
2023-11-14,8.4688611,HB,9
2023-11-15,8.6015278,HB,9
2023-11-16,8.6481250,HB,9
2023-11-17,8.7723333,HB,9
2023-11-18,8.7213889,HB,9
2023-11-19,8.6573125,HB,9
2023-11-20,8.5234722,HB,9
2023-11-21,8.2292778,HB,9
2023-11-22,7.9571597,HB,9
2023-11-23,8.1133403,HB,9
2023-11-24,8.1855069,HB,9
2023-11-25,8.0314861,HB,9
2023-11-26,7.4824236,HB,9
2023-11-27,7.4141042,HB,9
2023-11-28,7.6278333,HB,9
2023-11-29,7.3127986,HB,9
2023-11-30,6.9420694,HB,9
2023-12-01,6.8496597,HB,9
2023-12-02,6.9808056,HB,9
2023-12-03,7.0011181,HB,9
2023-12-04,6.8380278,HB,9
2023-12-05,6.6156250,HB,9
2023-12-06,6.2784306,HB,9
2023-12-07,6.1685903,HB,9
2023-12-08,6.0413333,HB,9
2023-12-09,6.0044236,HB,9
2023-12-10,5.7032986,HB,9
2023-12-11,5.8646736,HB,9
2023-12-12,6.0236250,HB,9
2023-12-13,5.9535000,HB,9
2023-12-14,5.7629028,HB,9
2023-12-15,5.3876319,HB,9
2023-12-16,5.4846458,HB,9
2023-12-17,5.2454306,HB,9
2023-12-18,5.4466597,HB,9
2023-12-19,5.7166458,HB,9
2023-12-20,5.8228056,HB,9
2023-12-21,5.5584583,HB,9
2023-12-22,5.3983403,HB,9
2023-12-23,5.2209861,HB,9
2023-12-24,4.9101667,HB,9
2023-12-25,5.0904167,HB,9
2023-12-26,5.1479583,HB,9
2023-12-27,5.1832014,HB,9
2023-12-28,5.1624583,HB,9
2023-12-29,4.9362778,HB,9
2023-12-30,4.8310000,HB,9
2023-12-31,4.7977778,HB,9
2024-01-01,4.7335000,HB,9
2024-01-02,4.5428333,HB,9
2024-01-03,4.3513194,HB,9
2024-01-04,4.0854514,HB,9
2024-01-05,4.1812569,HB,9
2024-01-06,3.8557986,HB,9
2024-01-07,3.3400347,HB,9
2024-01-08,3.1248194,HB,9
2024-01-09,2.9354236,HB,9
2024-01-10,2.7638333,HB,9
2024-01-11,3.0217639,HB,9
2024-01-12,3.0762361,HB,9
2024-01-13,2.9635347,HB,9
2024-01-14,2.8980972,HB,9
2024-01-15,2.9113472,HB,9
2024-01-16,2.7442708,HB,9
2024-01-17,2.8479583,HB,9
2024-01-18,2.7176528,HB,9
2024-01-19,2.7818403,HB,9
2024-01-20,2.6123611,HB,9
2024-01-21,2.7058194,HB,9
2024-01-22,2.5545556,HB,9
2024-01-23,2.4419514,HB,9
2024-01-24,2.4458056,HB,9
2024-01-25,2.2124653,HB,9
2024-01-26,2.1422708,HB,9
2024-01-27,2.1214444,HB,9
2024-01-28,2.0556111,HB,9
2024-01-29,1.9237500,HB,9
2024-01-30,1.6866944,HB,9
2024-01-31,1.4645486,HB,9
2024-02-01,1.4299167,HB,9
2024-02-02,1.4897153,HB,9
2024-02-03,1.3966111,HB,9
2024-02-04,1.0400903,HB,9
2024-02-05,1.1233542,HB,9
2024-02-06,1.1483333,HB,9
2024-02-07,1.1195694,HB,9
2024-02-08,1.1294097,HB,9
2024-02-09,1.1801250,HB,9
2024-02-10,1.2437083,HB,9
2024-02-11,1.3186458,HB,9
2024-02-12,1.4237778,HB,9
2024-02-13,1.4707153,HB,9
2024-02-14,1.3110764,HB,9
2024-02-15,1.3247014,HB,9
2024-02-16,1.1717361,HB,9
2024-02-17,0.8773681,HB,9
2024-02-18,1.0405000,HB,9
2024-02-19,1.0209167,HB,9
2024-02-20,0.9584444,HB,9
2024-02-21,0.8846042,HB,9
2024-02-22,0.5630833,HB,9
2024-02-23,0.6207986,HB,9
2024-02-24,0.7641042,HB,9
2024-02-25,0.7104583,HB,9
2024-02-26,0.7342222,HB,9
2024-02-27,0.8462083,HB,9
2024-02-28,1.0715903,HB,9
2024-02-29,1.2543056,HB,9
2024-03-01,1.2414375,HB,9
2024-03-02,1.4086389,HB,9
2024-03-03,1.4299167,HB,9
2024-03-04,1.5206458,HB,9
2024-03-05,1.2921528,HB,9
2024-03-06,1.3782361,HB,9
2024-03-07,1.4397569,HB,9
2024-03-08,1.5137361,HB,9
2024-03-09,1.6747500,HB,9
2024-03-10,1.6066884,HB,9
2024-03-11,1.5741319,HB,9
2024-03-12,1.3837431,HB,9
2024-03-13,1.5052569,HB,9
2024-03-14,1.7834167,HB,9
2024-03-15,1.7834931,HB,9
2024-03-16,1.9692986,HB,9
2024-03-17,2.0748819,HB,9
2024-03-18,2.1362986,HB,9
2024-03-19,1.8049653,HB,9
2024-03-20,1.7924375,HB,9
2024-03-21,1.8315000,HB,9
2024-03-22,1.7242500,HB,9
2024-03-23,2.0315417,HB,9
2024-03-24,1.9867500,HB,9
2024-03-25,2.0884861,HB,9
2024-03-26,2.0077500,HB,9
2024-03-27,1.9822500,HB,9
2024-03-28,1.9881250,HB,9
2024-03-29,2.4248611,HB,9
2024-03-30,2.4931389,HB,9
2024-03-31,2.5747917,HB,9
2024-04-01,2.5214514,HB,9
