Date,Temperature,Site,Depth
2019-09-26,14.4522,LI,9
2019-09-27,14.1843125,LI,9
2019-09-28,14.08163194,LI,9
2019-09-29,13.9713125,LI,9
2019-09-30,13.5576875,LI,9
2019-10-01,13.49672917,LI,9
2019-10-02,13.42833333,LI,9
2019-10-03,12.8215625,LI,9
2019-10-04,12.478375,LI,9
2019-10-05,12.08642361,LI,9
2019-10-06,12.15482639,LI,9
2019-10-07,12.36015278,LI,9
2019-10-08,12.52879861,LI,9
2019-10-09,12.64459722,LI,9
2019-10-10,12.40121528,LI,9
2019-10-11,11.85739583,LI,9
2019-10-12,11.90522222,LI,9
2019-10-13,11.83516667,LI,9
2019-10-14,11.84055556,LI,9
2019-10-15,11.8856875,LI,9
2019-10-16,11.84594444,LI,9
2019-10-17,11.85672222,LI,9
2019-10-18,11.87693056,LI,9
2019-10-19,11.819,LI,9
2019-10-20,11.71459028,LI,9
2019-10-21,11.64655556,LI,9
2019-10-22,11.637125,LI,9
2019-10-23,11.43571528,LI,9
2019-10-24,11.54079861,LI,9
2019-10-25,11.52328472,LI,9
2019-10-26,11.45659722,LI,9
2019-10-27,11.11161111,LI,9
2019-10-28,10.73272222,LI,9
2019-10-29,10.69885417,LI,9
2019-10-30,10.67974306,LI,9
2019-10-31,10.7375,LI,9
2019-11-01,11.121875,LI,9
2019-11-02,10.91784028,LI,9
2019-11-03,10.75652,LI,9
2019-11-04,10.56524306,LI,9
2019-11-05,10.40668056,LI,9
2019-11-06,10.48630556,LI,9
2019-11-07,10.17393056,LI,9
2019-11-08,9.968381944,LI,9
2019-11-09,9.749986111,LI,9
2019-11-10,9.059125,LI,9
2019-11-11,9.1601875,LI,9
2019-11-12,9.235965278,LI,9
2019-11-13,9.158493056,LI,9
2019-11-14,9.210020833,LI,9
2019-11-15,8.770791667,LI,9
2019-11-16,8.767743056,LI,9
2019-11-17,8.674534722,LI,9
2019-11-18,7.983479167,LI,9
2019-11-19,8.400986111,LI,9
2019-11-20,8.216097222,LI,9
2019-11-21,7.947645833,LI,9
2019-11-22,7.795993056,LI,9
2019-11-23,7.807826389,LI,9
2019-11-24,7.536368056,LI,9
2019-11-25,7.563652778,LI,9
2019-11-26,7.484055556,LI,9
2019-11-27,7.69925,LI,9
2019-11-28,7.426604167,LI,9
2019-11-29,7.028048611,LI,9
2019-11-30,6.689375,LI,9
2019-12-01,6.809180556,LI,9
2019-12-02,6.269479167,LI,9
2019-12-03,6.073784722,LI,9
2019-12-04,6.159625,LI,9
2019-12-05,6.277916667,LI,9
2019-12-06,6.139791667,LI,9
2019-12-07,5.973944444,LI,9
2019-12-08,5.692513889,LI,9
2019-12-09,5.408513889,LI,9
2019-12-10,5.767847222,LI,9
2019-12-11,5.983958333,LI,9
2019-12-12,5.522340278,LI,9
2019-12-13,5.3350625,LI,9
2019-12-14,4.796,LI,9
2019-12-15,5.347520833,LI,9
2019-12-16,5.055333333,LI,9
2019-12-17,4.964145833,LI,9
2019-12-18,4.7350625,LI,9
2019-12-19,4.365083333,LI,9
2019-12-20,4.053381944,LI,9
2019-12-21,4.139236111,LI,9
2019-12-22,3.889909722,LI,9
2019-12-23,3.884979167,LI,9
2019-12-24,3.812791667,LI,9
2019-12-25,3.582534722,LI,9
2019-12-26,3.132680556,LI,9
2019-12-27,2.9126875,LI,9
2019-12-28,3.245402778,LI,9
2019-12-29,3.393090278,LI,9
2019-12-30,3.151972222,LI,9
2019-12-31,2.887493056,LI,9
2020-01-01,2.808763889,LI,9
2020-01-02,2.827340278,LI,9
2020-01-03,2.900965278,LI,9
2020-01-04,2.942263889,LI,9
2020-01-05,2.762104167,LI,9
2020-01-06,2.592048611,LI,9
2020-01-07,2.395881944,LI,9
2020-01-08,2.172618056,LI,9
2020-01-09,1.8915,LI,9
2020-01-10,1.66875,LI,9
2020-01-11,2.008194444,LI,9
2020-01-12,2.20275,LI,9
2020-01-13,2.03325,LI,9
2020-01-14,1.724833333,LI,9
2020-01-15,1.537763889,LI,9
2020-01-16,1.7685,LI,9
2020-01-17,1.217541667,LI,9
2020-01-18,0.785145833,LI,9
2020-01-19,0.9155625,LI,9
2020-01-20,1.006659722,LI,9
2020-01-21,0.676868056,LI,9
2020-01-22,0.134090278,LI,9
2020-01-23,0.115590278,LI,9
2020-01-24,0.365541667,LI,9
2020-01-25,0.192652778,LI,9
2020-01-26,0.521784722,LI,9
2020-01-27,0.846826389,LI,9
2020-01-28,0.877145833,LI,9
2020-01-29,0.946576389,LI,9
2020-01-30,0.526395833,LI,9
2020-01-31,0.688326389,LI,9
2020-02-01,0.610034722,LI,9
2020-02-02,0.378902778,LI,9
2020-02-03,0.417861111,LI,9
2020-02-04,0.5401875,LI,9
2020-02-05,0.697680556,LI,9
2020-02-06,0.523541667,LI,9
2020-02-07,0.282673611,LI,9
