Date,Temperature,Site,Depth
2020-07-21,9.528538,MO,9
2020-07-22,9.296389,MO,9
2020-07-23,9.565507,MO,9
2020-07-24,10.465813,MO,9
2020-07-25,11.579549,MO,9
2020-07-26,10.566764,MO,9
2020-07-27,9.714361,MO,9
2020-07-28,10.356049,MO,9
2020-07-29,10.401910,MO,9
2020-07-30,10.933403,MO,9
2020-07-31,11.109340,MO,9
2020-08-01,10.687708,MO,9
2020-08-02,10.731285,MO,9
2020-08-03,10.833951,MO,9
2020-08-04,9.775132,MO,9
2020-08-05,10.028194,MO,9
2020-08-06,10.452583,MO,9
2020-08-07,9.278514,MO,9
2020-08-08,8.829167,MO,9
2020-08-09,9.311576,MO,9
2020-08-10,9.006625,MO,9
2020-08-11,8.726097,MO,9
2020-08-12,8.868174,MO,9
2020-08-13,8.864681,MO,9
2020-08-14,9.402493,MO,9
2020-08-15,12.915438,MO,9
2020-08-16,17.824729,MO,9
2020-08-17,18.144486,MO,9
2020-08-18,18.186083,MO,9
2020-08-19,18.334069,MO,9
2020-08-20,18.516382,MO,9
2020-08-21,17.911903,MO,9
2020-08-22,17.293222,MO,9
2020-08-23,16.279194,MO,9
2020-08-24,12.975764,MO,9
2020-08-25,16.157222,MO,9
2020-08-26,15.581181,MO,9
2020-08-27,11.979882,MO,9
2020-08-28,10.653799,MO,9
2020-08-29,10.211000,MO,9
2020-08-30,12.031931,MO,9
2020-08-31,11.660465,MO,9
2020-09-01,12.174181,MO,9
2020-09-02,15.126736,MO,9
2020-09-03,16.968194,MO,9
2020-09-04,17.276208,MO,9
2020-09-05,17.378715,MO,9
2020-09-06,16.954868,MO,9
2020-09-07,17.311292,MO,9
2020-09-08,17.870826,MO,9
2020-09-09,17.947361,MO,9
2020-09-10,18.070340,MO,9
2020-09-11,18.257361,MO,9
2020-09-12,17.917674,MO,9
2020-09-13,17.981681,MO,9
2020-09-14,18.017951,MO,9
2020-09-15,17.920313,MO,9
2020-09-16,17.566569,MO,9
2020-09-17,17.071924,MO,9
2020-09-18,16.574632,MO,9
2020-09-19,16.456242,MO,9
2023-07-06,11.010870,MO,9
2023-07-07,10.773840,MO,9
2023-07-08,9.485444,MO,9
2023-07-09,8.949528,MO,9
2023-07-10,12.041771,MO,9
2023-07-11,13.876632,MO,9
2023-07-12,14.134653,MO,9
2023-07-13,14.316826,MO,9
2023-07-14,14.639979,MO,9
2023-07-15,14.558903,MO,9
