Date,Temperature,Site,Depth
2012-07-03,11.4738,SC,8
2012-07-03,12.8923,SC,4
2012-07-04,10.9895,SC,8
2012-07-04,12.3235,SC,4
2012-07-05,10.8538,SC,8
2012-07-05,12.881,SC,4
2012-07-06,11.2887,SC,8
2012-07-06,12.5594,SC,4
2012-07-07,12.1574,SC,8
2012-07-07,13.2422,SC,4
2012-07-08,11.3985,SC,8
2012-07-08,12.7055,SC,4
2012-07-09,11.726,SC,8
2012-07-09,12.6832,SC,4
2012-07-10,11.7008,SC,8
2012-07-10,12.9004,SC,4
2012-07-11,10.7838,SC,8
2012-07-11,12.4788,SC,4
2012-07-12,10.1811,SC,8
2012-07-12,11.9304,SC,4
2012-07-13,9.9281,SC,8
2012-07-13,11.0784,SC,4
2012-07-14,9.6474,SC,8
2012-07-14,10.5834,SC,4
2012-07-15,9.0332,SC,8
2012-07-15,10.4112,SC,4
2012-07-16,9.7672,SC,8
2012-07-16,11.2161,SC,4
2012-07-17,10.3104,SC,8
2012-07-17,11.6586,SC,4
2012-07-18,10.576,SC,8
2012-07-18,11.7902,SC,4
2012-07-19,9.2241,SC,8
2012-07-19,10.4498,SC,4
2012-07-20,8.7166,SC,8
2012-07-20,9.6933,SC,4
2012-07-21,12.0739,SC,8
2012-07-21,12.696,SC,4
2012-07-22,12.5716,SC,8
2012-07-22,13.8268,SC,4
2012-07-23,12.4497,SC,8
2012-07-23,13.2892,SC,4
2012-07-24,13.0541,SC,8
2012-07-24,14.4895,SC,4
2012-07-25,9.1009,SC,8
2012-07-25,11.4395,SC,4
2012-07-26,10.1433,SC,8
2012-07-26,11.6242,SC,4
2012-07-27,11.2952,SC,8
2012-07-27,13.1456,SC,4
2012-07-28,10.7488,SC,8
2012-07-28,12.274,SC,4
2012-07-29,11.8562,SC,8
2012-07-29,12.8359,SC,4
2012-07-30,12.7752,SC,8
2012-07-30,13.6508,SC,4
2012-07-31,14.4495,SC,8
2012-07-31,15.2376,SC,4
2012-08-01,15.1566,SC,8
2012-08-01,15.6172,SC,4
2012-08-02,14.2486,SC,8
2012-08-02,15.7073,SC,4
2012-08-03,14.905,SC,8
2012-08-03,15.7709,SC,4
2012-08-04,14.8586,SC,8
2012-08-04,16.1749,SC,4
2012-08-05,15.778,SC,8
2012-08-05,16.5566,SC,4
2012-08-06,16.1557,SC,8
2012-08-06,16.9358,SC,4
2012-08-07,13.076,SC,8
2012-08-07,15.5856,SC,4
2012-08-08,12.6817,SC,8
2012-08-08,14.8306,SC,4
2012-08-09,12.6856,SC,8
2012-08-09,14.3341,SC,4
2012-08-10,13.0743,SC,8
2012-08-10,14.2946,SC,4
2012-08-11,14.4498,SC,8
2012-08-11,15.5827,SC,4
2012-08-12,14.2755,SC,8
2012-08-12,15.8422,SC,4
2012-08-13,13.5481,SC,8
2012-08-13,15.211,SC,4
2012-08-14,12.4936,SC,8
2012-08-14,13.9492,SC,4
2012-08-15,11.8723,SC,8
2012-08-15,12.9768,SC,4
2012-08-16,12.8644,SC,8
2012-08-16,13.9711,SC,4
2012-08-17,15.1237,SC,8
2012-08-17,15.6761,SC,4
2012-08-18,14.7424,SC,8
2012-08-18,15.6053,SC,4
2012-08-19,15.7404,SC,8
2012-08-19,16.7988,SC,4
2012-08-20,16.9105,SC,8
2012-08-20,18.0598,SC,4
2012-08-21,16.1936,SC,8
2012-08-21,17.6948,SC,4
2012-08-22,16.0538,SC,8
2012-08-22,17.6744,SC,4
2012-08-23,16.1253,SC,8
2012-08-23,18.0108,SC,4
2012-08-24,13.9449,SC,8
2012-08-24,16.4994,SC,4
2012-08-25,15.2812,SC,8
