Date,Temperature,Site,Depth
2004-08-09,11.96750,TL,4
2004-08-09,11.15000,TL,8
2004-08-10,12.64813,TL,4
2004-08-10,11.25458,TL,8
2004-08-11,11.53188,TL,4
2004-08-11,9.47354,TL,8
2004-08-12,12.92104,TL,4
2004-08-12,10.97333,TL,8
2004-08-13,13.56625,TL,4
2004-08-13,11.57229,TL,8
2004-08-14,14.76521,TL,4
2004-08-14,13.67771,TL,8
2004-08-15,14.70167,TL,4
2004-08-15,14.12688,TL,8
2004-08-16,15.70021,TL,4
2004-08-16,12.06792,TL,8
2004-08-17,16.35396,TL,4
2004-08-17,11.63667,TL,8
2004-08-18,9.14396,TL,4
2004-08-18,6.30188,TL,8
2004-08-19,13.54938,TL,4
2004-08-19,11.44938,TL,8
2004-08-20,14.00354,TL,4
2004-08-20,12.43833,TL,8
2004-08-21,13.63708,TL,4
2004-08-21,12.92729,TL,8
2004-08-22,14.56604,TL,4
2004-08-22,13.50979,TL,8
2004-08-23,14.46771,TL,4
2004-08-23,12.85583,TL,8
2004-08-24,15.36271,TL,4
2004-08-24,12.19313,TL,8
2004-08-25,16.78042,TL,4
2004-08-25,7.42396,TL,8
2004-08-26,10.30229,TL,4
2004-08-26,7.02417,TL,8
2004-08-27,14.00208,TL,4
2004-08-27,9.43729,TL,8
2004-08-28,14.61542,TL,4
2004-08-28,12.47188,TL,8
2004-08-29,15.15521,TL,4
2004-08-29,13.68146,TL,8
2004-08-30,13.70792,TL,4
2004-08-30,11.52125,TL,8
2004-08-31,13.45146,TL,4
2004-08-31,11.40250,TL,8
2004-09-01,15.97833,TL,4
2004-09-01,13.74771,TL,8
2004-09-02,15.84396,TL,4
2004-09-02,8.65688,TL,8
2004-09-03,8.93688,TL,4
2004-09-03,7.68729,TL,8
2004-09-04,12.11333,TL,4
2004-09-04,11.53563,TL,8
2004-09-05,13.56063,TL,4
2004-09-05,12.24313,TL,8
2004-09-06,9.91229,TL,4
2004-09-06,7.23500,TL,8
2004-09-07,9.59479,TL,4
2004-09-07,8.05917,TL,8
2004-09-08,12.60625,TL,4
2004-09-08,11.36771,TL,8
2004-09-09,12.77708,TL,4
2004-09-09,11.70375,TL,8
2004-09-10,10.45625,TL,4
2004-09-10,9.76229,TL,8
2004-09-11,13.41917,TL,4
2004-09-11,13.10750,TL,8
2004-09-12,13.63479,TL,4
2004-09-12,12.90979,TL,8
2004-09-13,13.69479,TL,4
2004-09-13,12.96771,TL,8
2004-09-14,13.80813,TL,4
2004-09-14,13.41396,TL,8
2004-09-15,13.05479,TL,4
2004-09-15,12.22083,TL,8
2004-09-16,13.40854,TL,4
2004-09-16,13.05188,TL,8
2004-09-17,13.62188,TL,4
2004-09-17,13.21708,TL,8
2004-09-18,13.79729,TL,4
2004-09-18,13.44250,TL,8
2004-09-19,13.94167,TL,4
2004-09-19,13.79958,TL,8
2004-09-20,13.02042,TL,4
2004-09-20,12.74604,TL,8
2004-09-21,11.13729,TL,4
2004-09-21,9.55104,TL,8
2004-09-22,9.49083,TL,4
2004-09-22,8.73229,TL,8
2004-09-23,12.20125,TL,4
2004-09-23,12.15375,TL,8
2004-09-24,13.97146,TL,4
2004-09-24,13.75646,TL,8
2004-09-25,14.13250,TL,4
2004-09-25,14.00854,TL,8
2004-09-26,14.56542,TL,4
2004-09-26,14.38729,TL,8
2004-09-27,14.83771,TL,4
2004-09-27,14.68104,TL,8
2004-09-28,14.88333,TL,4
2004-09-28,14.80000,TL,8
2004-09-29,15.05333,TL,4
2004-09-29,15.04583,TL,8
2004-09-30,14.86396,TL,4
2004-09-30,14.76000,TL,8
2004-10-01,14.82000,TL,4
2004-10-01,14.76000,TL,8
2004-10-02,14.86333,TL,4
2004-10-02,14.79000,TL,8
2004-10-03,14.76688,TL,4
2004-10-03,14.73000,TL,8
2004-10-04,14.98000,TL,4
2004-10-04,14.92333,TL,8
2004-10-05,15.03667,TL,4
2004-10-05,14.97667,TL,8
2004-10-06,14.80146,TL,4
2004-10-06,14.73688,TL,8
2004-10-07,14.64813,TL,4
2004-10-07,14.57625,TL,8
2004-10-08,14.62167,TL,4
2004-10-08,14.56375,TL,8
2004-10-09,14.65104,TL,4
2004-10-09,14.56667,TL,8
2004-10-10,14.75104,TL,4
2004-10-10,14.69104,TL,8
2004-10-11,14.90333,TL,4
2004-10-11,14.88667,TL,8
2004-10-12,14.86000,TL,4
2004-10-12,14.80000,TL,8
2004-10-13,14.69771,TL,4
2004-10-13,14.62333,TL,8
2004-10-14,14.50938,TL,4
2004-10-14,14.36813,TL,8
2004-10-15,14.36063,TL,4
2004-10-15,14.31333,TL,8
2004-10-16,14.38333,TL,4
2004-10-16,14.30729,TL,8
2004-10-17,14.32979,TL,4
2004-10-17,14.28000,TL,8
2004-10-18,14.25333,TL,4
2004-10-18,14.20438,TL,8
2004-10-19,14.08500,TL,4
2004-10-19,14.02396,TL,8
2004-10-20,13.79292,TL,4
2004-10-20,13.78917,TL,8
2004-10-21,13.45438,TL,4
2004-10-21,13.52563,TL,8
2004-10-22,13.27438,TL,4
2004-10-22,13.33021,TL,8
2004-10-23,12.88458,TL,4
2004-10-23,13.02542,TL,8
2004-10-24,12.66167,TL,4
2004-10-24,12.85396,TL,8
2004-10-25,12.59938,TL,4
2004-10-25,12.75438,TL,8
2004-10-26,12.46813,TL,4
2004-10-26,12.61500,TL,8
2004-10-27,12.44438,TL,4
2004-10-27,12.53292,TL,8
2004-10-28,12.21563,TL,4
2004-10-28,12.31000,TL,8
2004-10-29,11.99250,TL,4
2004-10-29,12.07938,TL,8
2004-10-30,11.87979,TL,4
2004-10-30,11.91313,TL,8
2004-10-31,12.05021,TL,4
2004-10-31,12.04938,TL,8
2004-11-01,12.11500,TL,4
2004-11-01,12.08563,TL,8
2004-11-02,11.71292,TL,4
2004-11-02,11.72188,TL,8
2004-11-03,11.74729,TL,4
2004-11-03,11.72729,TL,8
2004-11-04,11.22271,TL,4
2004-11-04,11.30646,TL,8
2004-11-05,11.26458,TL,4
2004-11-05,11.24229,TL,8
2004-11-06,11.18083,TL,4
2004-11-06,11.11313,TL,8
2004-11-07,10.99250,TL,4
2004-11-07,10.95458,TL,8
2004-11-08,10.87792,TL,4
2004-11-08,10.83625,TL,8
2004-11-09,10.47625,TL,4
2004-11-09,10.42438,TL,8
2004-11-10,9.87417,TL,4
2004-11-10,9.90354,TL,8
2004-11-11,9.34042,TL,4
2004-11-11,8.93979,TL,8
2004-11-12,9.32000,TL,4
2004-11-12,9.32188,TL,8
2004-11-13,8.78021,TL,4
2004-11-13,8.85958,TL,8
2004-11-14,8.26271,TL,4
2004-11-14,8.31917,TL,8
2004-11-15,8.08375,TL,4
2004-11-15,8.06250,TL,8
2004-11-16,7.74937,TL,4
2004-11-16,7.78729,TL,8
2004-11-17,7.51417,TL,4
2004-11-17,7.53333,TL,8
2004-11-18,7.48917,TL,4
2004-11-18,7.43313,TL,8
2004-11-19,7.40271,TL,4
2004-11-19,7.39250,TL,8
2004-11-20,7.30688,TL,4
2004-11-20,7.24250,TL,8
2004-11-21,7.29000,TL,4
2004-11-21,7.30813,TL,8
2004-11-22,7.23875,TL,4
2004-11-22,7.28271,TL,8
2004-11-23,7.16063,TL,4
2004-11-23,7.08313,TL,8
2004-11-24,6.79375,TL,4
2004-11-24,6.83542,TL,8
2004-11-25,7.23250,TL,4
2004-11-25,7.19875,TL,8
2004-11-26,7.22938,TL,4
2004-11-26,7.16667,TL,8
2004-11-27,7.17625,TL,4
2004-11-27,7.11000,TL,8
2004-11-28,6.65208,TL,4
2004-11-28,6.99000,TL,8
2004-11-29,6.34563,TL,4
2004-11-29,6.69604,TL,8
2004-11-30,6.72292,TL,4
2004-11-30,6.86729,TL,8
2004-12-01,7.04646,TL,4
2004-12-01,7.04000,TL,8
2004-12-02,7.14500,TL,4
2004-12-02,7.07000,TL,8
2004-12-03,6.76479,TL,4
2004-12-03,6.82354,TL,8
2004-12-04,6.21771,TL,4
2004-12-04,6.37625,TL,8
2004-12-05,7.02146,TL,4
2004-12-05,7.04813,TL,8
2004-12-06,6.40521,TL,4
2004-12-06,6.40979,TL,8
2004-12-07,5.80271,TL,4
2004-12-07,6.10229,TL,8
2004-12-08,5.20250,TL,4
2004-12-08,5.83646,TL,8
2004-12-09,5.62542,TL,4
2004-12-09,5.67500,TL,8
2004-12-10,5.75208,TL,4
2004-12-10,5.76958,TL,8
2004-12-11,5.36750,TL,4
2004-12-11,5.53833,TL,8
2004-12-12,5.77896,TL,4
2004-12-12,5.74958,TL,8
2004-12-13,5.82333,TL,4
2004-12-13,5.79792,TL,8
2004-12-14,5.78333,TL,4
2004-12-14,5.73208,TL,8
2004-12-15,5.33604,TL,4
2004-12-15,5.32479,TL,8
2004-12-16,4.87729,TL,4
2004-12-16,4.98167,TL,8
2004-12-17,6.06521,TL,4
2004-12-17,6.23083,TL,8
2004-12-18,5.29833,TL,4
2004-12-18,5.42500,TL,8
2004-12-19,5.28667,TL,4
2004-12-19,5.28083,TL,8
2004-12-20,5.03021,TL,4
2004-12-20,5.14667,TL,8
2004-12-21,4.91667,TL,4
2004-12-21,5.08125,TL,8
2004-12-22,5.53438,TL,4
2004-12-22,5.75250,TL,8
2004-12-23,5.69500,TL,4
2004-12-23,5.79500,TL,8
2004-12-24,5.82250,TL,4
2004-12-24,5.77604,TL,8
2004-12-25,5.00729,TL,4
2004-12-25,5.14000,TL,8
2004-12-26,4.29771,TL,4
2004-12-26,4.63396,TL,8
2004-12-27,3.86375,TL,4
2004-12-27,4.04563,TL,8
2004-12-28,4.06958,TL,4
2004-12-28,4.25813,TL,8
2004-12-29,4.62792,TL,4
2004-12-29,4.67125,TL,8
2004-12-30,4.05417,TL,4
2004-12-30,4.32292,TL,8
2004-12-31,3.56958,TL,4
2004-12-31,4.11625,TL,8
2005-01-01,4.66917,TL,4
2005-01-01,4.62396,TL,8
2005-01-02,3.88313,TL,4
2005-01-02,3.90146,TL,8
2005-01-03,4.15021,TL,4
2005-01-03,4.16250,TL,8
2005-01-04,3.83458,TL,4
2005-01-04,3.91042,TL,8
2005-01-05,3.73479,TL,4
2005-01-05,3.76563,TL,8
2005-01-06,3.36354,TL,4
2005-01-06,3.36188,TL,8
2005-01-07,3.36042,TL,4
2005-01-07,3.56104,TL,8
2005-01-08,3.22708,TL,4
2005-01-08,3.82854,TL,8
2005-01-09,2.82729,TL,4
2005-01-09,3.02146,TL,8
2005-01-10,2.91229,TL,4
2005-01-10,3.09313,TL,8
2005-01-11,3.23625,TL,4
2005-01-11,3.30250,TL,8
2005-01-12,3.27771,TL,4
2005-01-12,3.82333,TL,8
2005-01-13,3.31729,TL,4
2005-01-13,3.48458,TL,8
2005-01-14,3.38396,TL,4
2005-01-14,3.43146,TL,8
2005-01-15,3.69042,TL,4
2005-01-15,3.64708,TL,8
2005-01-16,3.05688,TL,4
2005-01-16,3.08688,TL,8
2005-01-17,2.32000,TL,4
2005-01-17,2.46938,TL,8
2005-01-18,2.42000,TL,4
2005-01-18,2.50000,TL,8
2005-01-19,2.19958,TL,4
2005-01-19,2.29042,TL,8
2005-01-20,2.58333,TL,4
2005-01-20,2.58667,TL,8
2005-01-21,2.40667,TL,4
2005-01-21,2.41667,TL,8
2005-01-22,1.95208,TL,4
2005-01-22,2.00792,TL,8
2005-01-23,1.19063,TL,4
2005-01-23,1.34479,TL,8
2005-01-24,0.87438,TL,4
2005-01-24,0.96333,TL,8
2005-01-25,1.32333,TL,4
2005-01-25,1.30000,TL,8
2005-01-26,1.06583,TL,4
2005-01-26,1.11333,TL,8
2005-01-27,0.52854,TL,4
2005-01-27,0.64000,TL,8
2005-01-28,0.02667,TL,4
2005-01-28,0.18125,TL,8
2005-01-29,0.26333,TL,4
2005-01-29,0.23729,TL,8
2005-01-30,0.22000,TL,4
2005-01-30,0.25750,TL,8
2005-01-31,0.13667,TL,4
2005-01-31,0.16354,TL,8
2005-02-01,0.17000,TL,4
2005-02-01,0.17042,TL,8
2005-02-02,-0.11000,TL,4
2005-02-02,0.11188,TL,8
2005-02-03,-0.23000,TL,4
2005-02-03,-0.04313,TL,8
2005-02-04,-0.04333,TL,4
2005-02-04,-0.04708,TL,8
2005-02-05,0.04000,TL,4
2005-02-05,0.02250,TL,8
2005-02-06,0.15000,TL,4
2005-02-06,0.18354,TL,8
2005-02-07,0.33333,TL,4
2005-02-07,0.29667,TL,8
2005-02-08,0.35000,TL,4
2005-02-08,0.38000,TL,8
2005-02-09,0.40333,TL,4
2005-02-09,0.41333,TL,8
2005-02-10,0.44667,TL,4
2005-02-10,0.42333,TL,8
2005-02-11,0.53333,TL,4
2005-02-11,0.43333,TL,8
2005-02-12,0.49333,TL,4
2005-02-12,0.42333,TL,8
2005-02-13,0.14000,TL,4
2005-02-13,0.21854,TL,8
2005-02-14,0.27000,TL,4
2005-02-14,0.33667,TL,8
2005-02-15,0.48333,TL,4
2005-02-15,0.43000,TL,8
2005-02-16,0.49000,TL,4
2005-02-16,0.43000,TL,8
2005-02-17,0.53333,TL,4
2005-02-17,0.48333,TL,8
2005-02-18,0.59333,TL,4
2005-02-18,0.53000,TL,8
2005-02-19,0.50333,TL,4
2005-02-19,0.45667,TL,8
2005-02-20,0.30333,TL,4
2005-02-20,0.26333,TL,8
2005-02-21,0.03667,TL,4
2005-02-21,0.18396,TL,8
2005-02-22,-0.27333,TL,4
2005-02-22,-0.14958,TL,8
2005-02-23,-0.47000,TL,4
2005-02-23,-0.40333,TL,8
2005-02-24,-0.53063,TL,4
2005-02-24,-0.53667,TL,8
2005-02-25,-0.68229,TL,4
2005-02-25,-0.50708,TL,8
2005-02-26,-0.70167,TL,4
2005-02-26,-0.68604,TL,8
2005-02-27,-0.24667,TL,4
2005-02-27,0.22583,TL,8
2005-02-28,0.14000,TL,4
2005-02-28,0.33125,TL,8
2005-03-01,-0.28333,TL,4
2005-03-01,-0.33750,TL,8
2005-03-02,-0.18667,TL,4
2005-03-02,-0.23000,TL,8
2005-03-03,-0.04000,TL,4
2005-03-03,-0.08688,TL,8
2005-03-04,-0.06667,TL,4
2005-03-04,-0.09396,TL,8
2005-03-05,-0.00333,TL,4
2005-03-05,0.09375,TL,8
2005-03-06,0.52396,TL,4
2005-03-06,0.55667,TL,8
2005-03-07,0.76313,TL,4
2005-03-07,0.66667,TL,8
2005-03-08,0.81313,TL,4
2005-03-08,0.72667,TL,8
2005-03-09,0.82958,TL,4
2005-03-09,0.73667,TL,8
2005-03-10,0.52667,TL,4
2005-03-10,0.51000,TL,8
2005-03-11,0.54333,TL,4
2005-03-11,0.56667,TL,8
2005-03-12,0.46333,TL,4
2005-03-12,0.45000,TL,8
2005-03-13,0.28333,TL,4
2005-03-13,0.24667,TL,8
2005-03-14,0.34333,TL,4
2005-03-14,0.35000,TL,8
2005-03-15,0.56667,TL,4
2005-03-15,0.48000,TL,8
2005-03-16,0.66354,TL,4
2005-03-16,0.55667,TL,8
2005-03-17,0.74729,TL,4
2005-03-17,0.60000,TL,8
2005-03-18,1.07354,TL,4
2005-03-18,0.81667,TL,8
2005-03-19,1.14875,TL,4
2005-03-19,0.94667,TL,8
2005-03-20,1.34000,TL,4
2005-03-20,1.14000,TL,8
2005-03-21,1.27667,TL,4
2005-03-21,1.13333,TL,8
2005-03-22,1.76750,TL,4
2005-03-22,1.41646,TL,8
2005-03-23,1.98479,TL,4
2005-03-23,1.42958,TL,8
2005-03-24,1.59000,TL,4
2005-03-24,1.42333,TL,8
2005-03-25,1.62143,TL,4
2005-03-25,1.45286,TL,8
2005-07-01,11.83721,TL,4
2005-07-01,6.90579,TL,8
2005-07-02,8.98922,TL,4
2005-07-02,7.66667,TL,8
2005-07-02,6.47714,TL,12
2005-07-03,13.59464,TL,4
2005-07-03,12.65545,TL,8
2005-07-03,7.33958,TL,12
2005-07-04,12.49457,TL,4
2005-07-04,9.02574,TL,8
2005-07-04,5.19019,TL,12
2005-07-05,11.46903,TL,4
2005-07-05,7.48473,TL,8
2005-07-05,5.11688,TL,12
2005-07-06,13.06990,TL,4
2005-07-06,8.69161,TL,8
2005-07-06,5.33416,TL,12
2005-07-07,14.27570,TL,4
2005-07-07,7.45072,TL,8
2005-07-07,4.82943,TL,12
2005-07-08,7.16044,TL,4
2005-07-08,5.04447,TL,8
2005-07-08,4.54933,TL,12
2005-07-09,11.63264,TL,4
2005-07-09,9.28547,TL,8
2005-07-09,5.61615,TL,12
2005-07-10,13.35599,TL,4
2005-07-10,12.00566,TL,8
2005-07-10,9.02572,TL,12
2005-07-11,14.10802,TL,4
2005-07-11,13.14610,TL,8
2005-07-11,12.01922,TL,12
2005-07-12,15.32454,TL,4
2005-07-12,13.99166,TL,8
2005-07-12,8.15307,TL,12
2005-07-13,13.69336,TL,4
2005-07-13,7.06549,TL,8
2005-07-13,5.65506,TL,12
2005-07-14,13.10266,TL,4
2005-07-14,9.50547,TL,8
2005-07-14,7.41872,TL,12
2005-07-15,14.07219,TL,4
2005-07-15,12.04606,TL,8
2005-07-15,10.39529,TL,12
2005-07-16,15.44256,TL,4
2005-07-16,13.09200,TL,8
2005-07-16,9.82078,TL,12
2005-07-17,12.59211,TL,4
2005-07-17,8.27901,TL,8
2005-07-17,5.91740,TL,12
2005-07-18,11.23294,TL,4
2005-07-18,8.10396,TL,8
2005-07-18,6.36737,TL,12
2005-07-19,14.65063,TL,4
2005-07-19,9.33205,TL,8
2005-07-19,7.00728,TL,12
2005-07-20,14.46074,TL,4
2005-07-20,8.48080,TL,8
2005-07-20,6.15974,TL,12
2005-07-21,14.27184,TL,4
2005-07-21,7.53609,TL,8
2005-07-21,5.62282,TL,12
2005-07-22,12.96529,TL,4
2005-07-22,7.09911,TL,8
2005-07-22,5.54403,TL,12
2005-07-23,16.01014,TL,4
2005-07-23,7.60693,TL,8
2005-07-23,5.67919,TL,12
2005-07-24,12.08477,TL,4
2005-07-24,6.61517,TL,8
2005-07-24,5.17313,TL,12
2005-07-25,7.98637,TL,4
2005-07-25,6.01403,TL,8
2005-07-25,5.22070,TL,12
2005-07-26,11.51041,TL,4
2005-07-26,7.76827,TL,8
2005-07-26,6.09187,TL,12
2005-07-27,10.95130,TL,4
